avaliacao,nota,sentimento
"Boa qualidade, a compra é maravilhoso, apesar de um arranhão na caixa.",5,positivo
"A compra é frustrante, não recomendo.",2,negativo
Razoável pelo preço.,3,neutro
"Atendimento atencioso, o produto é excelente.",5,positivo
"Comum, sem destaque, comum, sem destaque.",5,positivo
"Chegou quebrado, a entrega é fraco.",1,negativo
"Valeu o preço, a embalagem é incrível.",5,positivo
"Tive problema na troca, a entrega é frustrante.",1,negativo
"A entrega é ótimo, superou as expectativas.",5,positivo
"Chegou antes do prazo, o atendimento é maravilhoso.",5,positivo
"Mas a entrega demorou um pouco, o atendimento é muito bom, recomendo.",4,positivo
"Cumpre o que promete, é ok.",3,neutro
Razoável pelo preço.,3,neutro
"Superou as expectativas, o pedido é maravilhoso.",5,positivo
"Mediano, é ok.",3,neutro
"A entrega é frustrante, veio com defeito.",1,negativo
"Não recomendo, a compra é ruim.",2,negativo
"Poderia ser melhor, a embalagem é decepcionante.",5,positivo
"É ok, entrega rápida, esperava mais mas serve.",3,neutro
"Superou as expectativas, o produto é bacana.",4,positivo
"Abaixo do esperado, a embalagem é péssimo.",2,negativo
"A entrega é impecável, recomendo, só achei meio caro.",5,positivo
"O pedido é fraco, porém chegou rápido, poderia ser melhor.",1,negativo
"A entrega é frustrante, chegou quebrado.",1,negativo
"Razoável pelo preço, razoável pelo preço, valeu o preço.",5,positivo
"Boa qualidade, o produto é ótimo.",5,positivo
"Mas a entrega demorou um pouco, entrega rápida, o produto é bacana.",5,positivo
"O atendimento é péssimo, tive problema na troca.",5,positivo
"Não recomendo, a embalagem é fraco.",1,negativo
"O produto é excelente, valeu o preço.",4,positivo
Dentro do esperado.,3,neutro
"Porém chegou rápido, poderia ser melhor, a entrega é horrível.",2,negativo
"A embalagem é decepcionante, veio com defeito.",2,negativo
"Não recomendo, a compra é péssimo.",1,negativo
"Comum, sem destaque.",3,neutro
"Superou as expectativas, a entrega é maravilhoso.",4,positivo
"Boa qualidade, a compra é bacana.",4,positivo
"Só achei meio caro, entrega rápida, o produto é ótimo.",5,positivo
"Recomendo, a entrega é excelente.",5,positivo
"Chegou antes do prazo, a embalagem é impecável.",5,positivo
"O pedido é ruim, abaixo do esperado.",1,negativo
"Recomendo, o atendimento é maravilhoso.",4,positivo
"O atendimento é frustrante, chegou quebrado, ainda assim a embalagem era bonita.",1,negativo
"Mediano, dentro do esperado.",3,neutro
"A entrega é incrível, superou as expectativas.",3,neutro
"A embalagem é péssimo, tive problema na troca, porém chegou rápido.",1,negativo
"Veio com defeito, o atendimento é fraco.",4,positivo
"Recomendo, o pedido é maravilhoso.",5,positivo
"Tive problema na troca, o produto é fraco.",2,negativo
"O produto é incrível, chegou antes do prazo.",5,positivo
"Só achei meio caro, o pedido é impecável, chegou antes do prazo.",5,positivo
"Recomendo, a compra é incrível.",4,positivo
"Valeu o preço, a entrega é muito bom, só achei meio caro.",5,positivo
"O atendimento é horrível, demorou para chegar.",1,negativo
"Demorou para chegar, ainda assim a embalagem era bonita, o atendimento é ruim.",3,neutro
"A embalagem é excelente, voltarei a comprar.",4,positivo
"É ok, atende ao básico.",4,positivo
"Superou as expectativas, o pedido é bacana.",4,positivo
"O pedido é decepcionante, demorou para chegar, mas o atendimento tentou ajudar.",1,negativo
"A entrega é incrível, entrega rápida.",5,positivo
"A entrega é fraco, abaixo do esperado.",1,negativo
"O produto é fraco, veio com defeito.",2,negativo
"Valeu o preço, o pedido é ótimo.",4,positivo
"Só achei meio caro, a embalagem é perfeito, valeu o preço.",4,positivo
"Valeu o preço, o atendimento é maravilhoso, só achei meio caro.",5,positivo
"Abaixo do esperado, a compra é fraco.",5,positivo
"Superou as expectativas, mas a entrega demorou um pouco, a compra é impecável.",5,positivo
"O atendimento é excelente, superou as expectativas.",5,positivo
"Não recomendo, a compra é frustrante.",1,negativo
"Razoável pelo preço, atende ao básico.",3,neutro
"O atendimento é excelente, atendimento atencioso, mas a entrega demorou um pouco.",4,positivo
"Boa qualidade, o atendimento é excelente.",5,positivo
"Dentro do esperado, cumpre o que promete.",3,neutro
"Veio com defeito, a entrega é fraco.",2,negativo
"Só achei meio caro, valeu o preço, o pedido é impecável.",5,positivo
"A embalagem é ótimo, chegou antes do prazo, só achei meio caro.",4,positivo
"Boa qualidade, o produto é muito bom.",5,positivo
"O pedido é fraco, poderia ser melhor.",1,negativo
"Veio com defeito, a entrega é decepcionante.",1,negativo
"Poderia ser melhor, o atendimento é frustrante.",1,negativo
"A entrega é incrível, boa qualidade.",4,positivo
Cumpre o que promete.,2,negativo
"Valeu o preço, a entrega é impecável.",4,positivo
Razoável pelo preço.,2,negativo
"Atende ao básico, cumpre o que promete.",1,negativo
"O produto é ótimo, apesar de um arranhão na caixa, recomendo.",5,positivo
"Chegou antes do prazo, a compra é perfeito.",4,positivo
"Superou as expectativas, a compra é bacana.",5,positivo
"Entrega rápida, o pedido é impecável, só achei meio caro.",1,negativo
"Chegou quebrado, a entrega é ruim.",1,negativo
Atende ao básico.,3,neutro
"A compra é ótimo, atendimento atencioso.",5,positivo
"Esperava mais mas serve, é ok.",3,neutro
"O atendimento é péssimo, abaixo do esperado.",1,negativo
"Superou as expectativas, o produto é maravilhoso.",5,positivo
"Boa qualidade, o produto é ótimo.",4,positivo
"Veio com defeito, a entrega é péssimo.",1,negativo
"Não recomendo, a entrega é decepcionante.",2,negativo
"Poderia ser melhor, o atendimento é ruim, ainda assim a embalagem era bonita.",1,negativo
Mediano.,3,neutro
"Mas a entrega demorou um pouco, a embalagem é maravilhoso, voltarei a comprar.",4,positivo
"Superou as expectativas, o pedido é incrível.",5,positivo
"É ok, cumpre o que promete.",2,negativo
"O atendimento é perfeito, atendimento atencioso.",4,positivo
"Demorou para chegar, porém chegou rápido, o atendimento é horrível.",1,negativo
"O pedido é horrível, mas o atendimento tentou ajudar, abaixo do esperado.",1,negativo
"A compra é frustrante, poderia ser melhor.",1,negativo
"O produto é péssimo, veio com defeito.",3,neutro
"O pedido é muito bom, atendimento atencioso.",5,positivo
"Atendimento atencioso, a entrega é bacana, mas a entrega demorou um pouco.",5,positivo
"Recomendo, a embalagem é bacana.",4,positivo
"Voltarei a comprar, o produto é impecável.",5,positivo
Mediano.,2,negativo
"Chegou quebrado, o produto é ruim.",1,negativo
"Voltarei a comprar, o atendimento é perfeito.",4,positivo
"A compra é muito bom, atendimento atencioso.",3,neutro
"Apesar de um arranhão na caixa, valeu o preço, a embalagem é maravilhoso.",1,negativo
"Poderia ser melhor, a compra é péssimo.",2,negativo
"A compra é horrível, não recomendo.",4,positivo
"Dentro do esperado, é ok.",3,neutro
"Superou as expectativas, o produto é incrível.",4,positivo
"Não recomendo, o atendimento é fraco.",1,negativo
"A embalagem é bacana, chegou antes do prazo.",4,positivo
"Abaixo do esperado, a entrega é fraco.",2,negativo
"Chegou antes do prazo, o produto é bacana.",4,positivo
"Ainda assim a embalagem era bonita, poderia ser melhor, o atendimento é ruim.",1,negativo
"Dentro do esperado, superou as expectativas.",3,neutro
"Não recomendo, o produto é fraco.",4,positivo
"A entrega é maravilhoso, superou as expectativas.",5,positivo
"Entrega rápida, a entrega é perfeito.",4,positivo
"O atendimento é maravilhoso, recomendo, mas a entrega demorou um pouco.",5,positivo
"Não recomendo, o pedido é decepcionante, mas o atendimento tentou ajudar.",1,negativo
"Recomendo, o produto é excelente.",4,positivo
"Esperava mais mas serve, comum, sem destaque.",3,neutro
"Apesar de um arranhão na caixa, valeu o preço, a embalagem é bacana.",5,positivo
"A embalagem é horrível, poderia ser melhor.",1,negativo
"Chegou antes do prazo, comum, sem destaque.",3,neutro
"A embalagem é péssimo, veio com defeito.",2,negativo
"Esperava mais mas serve, mediano.",3,neutro
"O pedido é bacana, entrega rápida.",5,positivo
"Poderia ser melhor, a entrega é frustrante, mas o atendimento tentou ajudar.",5,positivo
"O pedido é muito bom, entrega rápida.",5,positivo
"Voltarei a comprar, cumpre o que promete.",3,neutro
"A compra é horrível, tive problema na troca.",3,neutro
Mediano.,3,neutro
"Apesar de um arranhão na caixa, o atendimento é maravilhoso, atendimento atencioso.",5,positivo
"A entrega é ruim, veio com defeito.",5,positivo
"Valeu o preço, o produto é impecável.",5,positivo
"O atendimento é ruim, mas o atendimento tentou ajudar, abaixo do esperado.",1,negativo
"Entrega rápida, a embalagem é perfeito.",5,positivo
"O produto é impecável, atendimento atencioso.",5,positivo
"Apesar de um arranhão na caixa, recomendo, o pedido é ótimo.",5,positivo
"Voltarei a comprar, o produto é impecável.",4,positivo
"Esperava mais mas serve, esperava mais mas serve.",1,negativo
"A entrega é excelente, valeu o preço.",5,positivo
"Valeu o preço, atende ao básico.",3,neutro
"Chegou quebrado, a entrega é decepcionante.",2,negativo
"O pedido é horrível, abaixo do esperado, ainda assim a embalagem era bonita.",2,negativo
"A entrega é maravilhoso, entrega rápida.",4,positivo
"Recomendo, o produto é excelente.",5,positivo
"Abaixo do esperado, a embalagem é ruim.",2,negativo
"A embalagem é excelente, chegou antes do prazo.",4,positivo
"Não recomendo, cumpre o que promete.",3,neutro
"O produto é bacana, recomendo.",3,neutro
"O pedido é péssimo, abaixo do esperado.",2,negativo
"A embalagem é bacana, chegou antes do prazo.",4,positivo
"A embalagem é maravilhoso, superou as expectativas.",4,positivo
"Demorou para chegar, o produto é frustrante.",1,negativo
"O produto é péssimo, veio com defeito.",2,negativo
"A embalagem é muito bom, superou as expectativas.",5,positivo
"Chegou quebrado, a entrega é ruim.",1,negativo
"Atendimento atencioso, o produto é excelente.",4,positivo
"A embalagem é muito bom, superou as expectativas.",4,positivo
Cumpre o que promete.,3,neutro
"O produto é ótimo, chegou antes do prazo.",4,positivo
"Chegou quebrado, o pedido é horrível, mas o atendimento tentou ajudar.",2,negativo
"A compra é fraco, não recomendo.",1,negativo
"A entrega é excelente, valeu o preço.",4,positivo
"A embalagem é fraco, veio com defeito.",1,negativo
"O produto é frustrante, veio com defeito.",2,negativo
"Boa qualidade, o pedido é impecável.",5,positivo
"Entrega rápida, a entrega é maravilhoso.",5,positivo
"A compra é muito bom, entrega rápida.",5,positivo
Atende ao básico.,3,neutro
"Não recomendo, o pedido é horrível.",3,neutro
"Não recomendo, o pedido é horrível.",2,negativo
"Boa qualidade, o produto é impecável.",4,positivo
"A compra é bacana, superou as expectativas.",5,positivo
"O pedido é péssimo, não recomendo.",2,negativo
"A embalagem é frustrante, veio com defeito.",1,negativo
"A compra é fraco, não recomendo, mas o atendimento tentou ajudar.",1,negativo
"Só achei meio caro, boa qualidade, o atendimento é maravilhoso.",4,positivo
"Valeu o preço, o pedido é muito bom.",5,positivo
"A entrega é ótimo, chegou antes do prazo.",4,positivo
"A entrega é maravilhoso, chegou antes do prazo.",3,neutro
"Recomendo, a entrega é impecável.",5,positivo
"Poderia ser melhor, o atendimento é péssimo.",1,negativo
"O pedido é bacana, superou as expectativas.",5,positivo
"A embalagem é decepcionante, veio com defeito.",1,negativo
"A entrega é impecável, voltarei a comprar.",5,positivo
"Comum, sem destaque.",3,neutro
"Abaixo do esperado, o produto é frustrante.",1,negativo
"O atendimento é excelente, entrega rápida.",5,positivo
"Recomendo, o atendimento é excelente, só achei meio caro.",5,positivo
"Mas a entrega demorou um pouco, entrega rápida, a entrega é impecável.",4,positivo
"O produto é horrível, porém chegou rápido, veio com defeito.",3,neutro
"A compra é incrível, atendimento atencioso.",5,positivo
"Esperava mais mas serve, é ok.",5,positivo
"A compra é impecável, chegou antes do prazo.",5,positivo
"Boa qualidade, o produto é incrível.",4,positivo
"A embalagem é decepcionante, abaixo do esperado.",2,negativo
"Chegou quebrado, a compra é frustrante, porém chegou rápido.",1,negativo
"O atendimento é frustrante, tive problema na troca.",1,negativo
Razoável pelo preço.,4,positivo
"O produto é muito bom, voltarei a comprar.",5,positivo
"Comum, sem destaque.",3,neutro
"O pedido é frustrante, mas o atendimento tentou ajudar, não recomendo.",2,negativo
"A compra é muito bom, mas a entrega demorou um pouco, superou as expectativas.",5,positivo
"Recomendo, mas a entrega demorou um pouco, a entrega é incrível.",5,positivo
"Esperava mais mas serve, atende ao básico.",1,negativo
"Superou as expectativas, o atendimento é perfeito.",4,positivo
"Razoável pelo preço, comum, sem destaque, atendimento atencioso.",3,neutro
"A embalagem é muito bom, voltarei a comprar.",4,positivo
"Não recomendo, razoável pelo preço, esperava mais mas serve.",3,neutro
"Superou as expectativas, o pedido é muito bom.",5,positivo
"A embalagem é excelente, superou as expectativas.",5,positivo
"Voltarei a comprar, o produto é impecável.",4,positivo
"O pedido é excelente, mas a entrega demorou um pouco, boa qualidade.",4,positivo
"O pedido é péssimo, chegou quebrado.",1,negativo
"A embalagem é bacana, valeu o preço, só achei meio caro.",4,positivo
"Boa qualidade, a entrega é ótimo.",5,positivo
"Poderia ser melhor, a entrega é péssimo.",2,negativo
"Poderia ser melhor, mas o atendimento tentou ajudar, a compra é decepcionante.",1,negativo
"Boa qualidade, o produto é incrível.",4,positivo
"Veio com defeito, a embalagem é horrível.",2,negativo
"Mediano, dentro do esperado, chegou antes do prazo.",4,positivo
"Atendimento atencioso, a embalagem é ótimo.",5,positivo
"A embalagem é péssimo, demorou para chegar.",1,negativo
"Só achei meio caro, o produto é excelente, entrega rápida.",4,positivo
Esperava mais mas serve.,5,positivo
"Entrega rápida, a compra é impecável.",5,positivo
"Recomendo, o pedido é bacana.",4,positivo
"Dentro do esperado, atende ao básico.",3,neutro
Esperava mais mas serve.,5,positivo
"Não recomendo, mas o atendimento tentou ajudar, a embalagem é frustrante.",5,positivo
"A compra é ruim, veio com defeito, mas o atendimento tentou ajudar.",2,negativo
"Superou as expectativas, o produto é maravilhoso.",5,positivo
Mediano.,3,neutro
"O pedido é muito bom, boa qualidade, apesar de um arranhão na caixa.",5,positivo
"Demorou para chegar, o produto é horrível.",1,negativo
"Veio com defeito, o atendimento é péssimo, ainda assim a embalagem era bonita.",1,negativo
"A entrega é muito bom, chegou antes do prazo.",5,positivo
"Chegou quebrado, a entrega é ruim, porém chegou rápido.",1,negativo
"É ok, abaixo do esperado, comum, sem destaque.",3,neutro
"É ok, mediano.",5,positivo
"A entrega é péssimo, tive problema na troca.",4,positivo
"Valeu o preço, a embalagem é muito bom.",5,positivo
"O pedido é perfeito, mas a entrega demorou um pouco, entrega rápida.",5,positivo
"Chegou quebrado, a entrega é péssimo.",2,negativo
"O produto é perfeito, chegou antes do prazo.",5,positivo
"A compra é fraco, poderia ser melhor.",2,negativo
"O pedido é péssimo, chegou quebrado.",2,negativo
"Entrega rápida, o pedido é excelente.",5,positivo
"O atendimento é perfeito, entrega rápida.",5,positivo
"O pedido é ótimo, voltarei a comprar.",4,positivo
"Veio com defeito, o produto é ruim.",2,negativo
Dentro do esperado.,5,positivo
"Poderia ser melhor, o pedido é decepcionante.",2,negativo
"O pedido é perfeito, boa qualidade.",5,positivo
"Poderia ser melhor, o produto é horrível, ainda assim a embalagem era bonita.",2,negativo
"A embalagem é maravilhoso, atendimento atencioso.",5,positivo
"Demorou para chegar, a embalagem é decepcionante.",2,negativo
"O atendimento é decepcionante, poderia ser melhor.",2,negativo
"Recomendo, o atendimento é perfeito, mas a entrega demorou um pouco.",5,positivo
"O produto é bacana, recomendo.",4,positivo
"Não recomendo, a entrega é péssimo.",1,negativo
"Mediano, é ok, recomendo.",3,neutro
"Atendimento atencioso, a compra é maravilhoso.",5,positivo
"Tive problema na troca, a embalagem é horrível.",5,positivo
"A entrega é fraco, tive problema na troca.",2,negativo
"O produto é incrível, chegou antes do prazo, só achei meio caro.",4,positivo
"Chegou antes do prazo, o atendimento é muito bom.",5,positivo
"Tive problema na troca, o atendimento é frustrante.",2,negativo
"Chegou antes do prazo, a compra é impecável, apesar de um arranhão na caixa.",5,positivo
"O pedido é perfeito, chegou antes do prazo.",5,positivo
"O produto é perfeito, voltarei a comprar.",5,positivo
"Atende ao básico, mediano.",5,positivo
"Atende ao básico, recomendo.",3,neutro
"O atendimento é ótimo, recomendo.",5,positivo
"A embalagem é bacana, superou as expectativas.",5,positivo
"O pedido é incrível, recomendo.",5,positivo
"A compra é frustrante, não recomendo.",5,positivo
"A entrega é ótimo, entrega rápida.",5,positivo
"A compra é excelente, superou as expectativas.",5,positivo
"Chegou antes do prazo, o produto é ótimo.",5,positivo
É ok.,3,neutro
"A compra é ótimo, superou as expectativas.",4,positivo
"Tive problema na troca, o produto é péssimo.",1,negativo
"O pedido é impecável, entrega rápida.",5,positivo
"A entrega é incrível, chegou antes do prazo, apesar de um arranhão na caixa.",5,positivo
"Abaixo do esperado, a embalagem é frustrante.",4,positivo
"Valeu o preço, a embalagem é bacana.",4,positivo
"O pedido é perfeito, boa qualidade.",4,positivo
"O produto é decepcionante, abaixo do esperado.",2,negativo
"Razoável pelo preço, chegou antes do prazo, mediano.",3,neutro
"A entrega é fraco, poderia ser melhor.",2,negativo
"A entrega é maravilhoso, só achei meio caro, valeu o preço.",5,positivo
